category,subcategory_1,subcategory_2,uuid,name,description,part_number,price,cost,taxable,unit_of_measure,material_markup_enabled
Equipment,Fujitsu,"",pbmat_71bc908591ea44a6b77b2602db5d5275,AOU48RLAVM4,"Fujitsu J-Series VRF oiutdoor unit 48,000 btu",AOU48RLAVM4,$6211.00,$6211.00,true,Each,false
Equipment,Fujitsu,"",pbmat_d89d0154c3a441fe90332f32905ae481,ASUA4TLAV2,"Fujitsu J-Series high wall indoor unit 4,000 btu",ASUA4TLAV2,$1286.00,$1286.00,true,Each,false
Equipment,Fujitsu,"",pbmat_71ef38c7990b422a9fe94e3b9cb46a1c,ASUA7TLAV2,"Fujitsu J-Series high wall indoor unit 7,000 btu",ASUA7TLAV2,$1428.00,$1428.00,true,Each,false
Equipment,Fujitsu,"",pbmat_8dfa71037b3d420190434fa2b0a414d2,ASUA9TLAV2,"Fujitsu J-Series high wall indoor unit 9,000 btu",ASUA9TLAV2,$1577.50,$1577.50,true,Each,false
Equipment,Fujitsu,"",pbmat_0210f73d33514bf1a5aec5650009f262,ASUA14TLAV2,"Fujitsu J-Series high wall indoor unit 14,000 btu",ASUA14TLAV2,$1815.50,$1815.50,true,Each,false
Equipment,Fujitsu,"",pbmat_8536f380f5ad4aaab8c38df8db9d492a,UTYLNHU,Wireless remote controller used with FUJITSU Mini-VRF of Airstage series,UTYLNHU,$124.12,$124.12,true,Each,false
Equipment,Fujitsu,"",pbmat_797a5e60ed3f4a9299ae95cf1491b096,UTRH0908L,Fujitsu J-Series VRF 8 port header,UTRH0908L,$238.93,$238.93,true,Each,false
Install,Electrical,"",pbmat_88529e7806124a7d8f1d97914642619a,K00500LW,Fujitsu LONWORKS SHIELDED CABLE,K00500LW,$106998.93,$106998.93,true,per foot,false
Maintenance,"","",pbmat_efec64b8b8ca4740aa788bf50441236f,GF4556,"GeneralAire Media Replacement Filter, MERV 11, 20"" x 20"" x 5"" (Replaces M2-1056)",GF4556,$36.38,$36.38,true,Each,false
Install,Refrigerant piping,Pipe insulation,pbmat_fdd1562176134871bb6bf2b812ec4f07,A3434,"PIPE INSULATION 3/4"" X 3/4"" X 6'",A3434,$2.08,$2.08,true,Each,false
Equipment,Moovair,"",pbmat_18747adc4b71426bb43700d180e45b10,CUB24HAC20BWT7A,"17.5"" Cased indoor coil cold climate heat pump",CUB24HAC20BWT7A,$549.45,$549.45,true,Each,false
Equipment,Moovair,"",pbmat_abd4441499674b60bc2addc3b7fdedc7,DMA24HOS20230E7,"Central-Moov 2 Ton (Add on)

Brand: Moovair
Outdoor model number: DMA24HOS20230E7
Indoor model number(s): CUB24HAC20BWT7A
Heat Pump AHRI number: 212361759
Tonnage: 2
HSPF2: 9.5
SEER2: 16.8",DMA24HOS20230E7,$1980.00,$1980.00,true,Each,false
Equipment,Fujitsu,"",pbmat_c9200fddc37c458f8d968a702bb612ff,UTYRVRU,Fujitisu Kagami wired controller,UTYRVRU,$434.40,$434.40,true,Each,false
Install,Ductwork,Flexible round,pbmat_ba9fde3199e44cdeaa5873bf82d37133,6779027,Non-insulated flexible ducting - SLD 6x25' NON-INS FLEX DUCT,6779027,$59.53,$59.53,true,Each,false
Install,Ductwork,Flexible round,pbmat_81cfbf8967b1402986d0c6033acf5650,6770167,"6"" insulated flexible duct - MEA 6x25' ALUM AIR DUCT R4.2",6770167,$66.92,$66.92,true,Each,false
Equipment,Fujitsu,"",pbmat_0d43360d7e224248a0e6193a512c3aad,AOU24RLXFZ,"Fujitsu H-Series multi split outdoor unit 24,000 btu",AOU24RLXFZ,$2373.60,$2373.60,true,Each,false
Equipment,Mitsubishi,"",pbmat_ca567ff838cb4c2ca026b16698dd1103,MXZ-3C24NA,"Multi-split (-15C)

Brand: Mitsubishi
Outdoor model number: MXZ-3C24NA3
Indoor model number(s): See materials
Heat Pump AHRI number: 207342463
Tonnage: 2
HSPF2: 10.00
SEER: 20.00",MXZ-3C24NA,$3817.00,$3817.00,true,Each,false
Repair,"","",pbmat_16863923b17e4fbb843018c104d8aa2d,995-ALL,SUPER SEAL FLEX INJECT W/ UV DYE,995-ALL,$251.70,$251.70,true,Each,false
Repair,"","",pbmat_5825a62801c34721891350d52ea1f7a9,RCR40-5-440,Herm/Fan Dual run capacitor,RCR40-5-440,$62.06,$62.06,true,Each,false
Install,Controls,Thermostats,pbmat_1066bf96a4154a249e41097cd62ad32a,EBSTATE6LPC01,Ecobee thermostat Enhanced 6 PRO 4 Heat/4 Cool,EBSTATE6LPC01,$255.22,$255.22,true,Each,false
Equipment,Coleman,"",pbmat_6d9260a702a2458683c980a9d3413b7f,DGAX070BDTA,COLEMAN PROPANE FURNACE MOBILE HOME 70K BTU R,DGAX070BDTA,$2064.74,$2064.74,true,Each,false
Equipment,Coleman,"",pbmat_ce71765245324c169551de633626f589,40007151C,"York® Standard Roof Jack, Series: 4000 Series, For Use With: Coleman Evcon/Revolv CGAT/COAS/COAT/DGAA Mobile/Modular Home Gas Furnace, 90 to 116 in Adjustable Height of 59-1/2 in Casing, 106 to 132 in Adjustable Height of 76 in Casing",40007151C,$325.96,$325.96,true,Each,false
Equipment,Coleman,"",pbmat_e0c881af5e5b41b8a9abd10a1673e72b,79906211,"Ductwork connection for Coleman furnace - MH DUCT CONN. 1"" FINGER TA",79906211,$56.92,$56.92,true,Each,false
Equipment,Coleman,"",pbmat_5d7c8a6ae54f4279a6a3538381505563,7900A6171,"Extension for venting of roof jack to furnace - 17"" EXTENSION M6 0",7900A6171,$103.06,$103.06,true,Each,false
Maintenance,"","",pbmat_0db91915619942ad928b1f7b35d618fd,GF4551,"GeneralAire Media Replacement Filter, MERV 11, 20"" x 25"" x 5"" (Replaces M8-1056)",GF4551,$34.78,$34.78,true,Each,false
Install,Ductwork,Rectangle duct,pbmat_4cc0c687f3484b928c62ffad7f7823ae,6660569,"Duct 20"" x 10"" x 5' Steel 26GA Galvanized",6660569,$10.02,$10.02,true,per foot,false
Install,Ductwork,Rectangle duct,pbmat_8a728a7e0bec4edb8b2949bad41e52d0,6660113,"Duct 18'"" x 10"" x 5' Steel 28GA Galvanized",6660113,$8.26,$8.26,true,per foot,false
Install,Ductwork,Rectangle duct,pbmat_88c3a974de074c8da544ffe193203079,6660177,"Duct 14"" x 10"" x 5' Steel 30GA Galvanized",6660177,$6.92,$6.92,true,per foot,false
Install,Ductwork,Round fittings,pbmat_791fbf329af649a1a26dc943c5428c04,6712019,"Elbow 5"" Steel 30GA 90° Adjustable CROE F/Duct Galvanized",6712019,$1.96,$1.96,true,Each,false
Install,Ductwork,Round pipe,pbmat_365524ae4249465e9984be0fb7ef5379,6716045,"Pipe 5"" x 60"" Steel 30GA Round Type B SNAPLOCK Galvanized Foot",6716045,$1.10,$1.10,true,per foot,false
Install,Ductwork,Misc fittings,pbmat_1b57a62b71044f0f80eceb101125a283,6660851,"Damper 5"" Round F/Pipe W/Handle Key Galvanized",6660851,$4.67,$4.67,true,Each,false
Install,Ductwork,Diffusers & grilles,pbmat_1695d1c367f44bac91e1c538a6038735,6670049,"Imperial MFG RG2296 Grille 24"" x 8"" Plastic Return Air F/Sidewall White",6670049,$12.97,$12.97,true,Each,false
Install,Ductwork,Rectangle duct,pbmat_1e1bbdfbdb5e49d2bbb0472cf93797f5,6719544,"Duct 20"" x 8"" x 5' Steel 28GA Galvanized",6719544,$9.11,$9.11,true,per foot,false
Install,Ductwork,Rectangle duct,pbmat_52afba50e0f84ae780634e5723f967ec,6716042,"Duct 12"" x 8"" x 5' Steel 30GA Galvanized",6716042,$6.26,$6.26,true,per foot,false
Install,Ductwork,Round fittings,pbmat_cd98a320e9e9499f9a9da0e44b20170d,6710124,"Take-Off 5"" Square-Round Side Galvanized",6710124,$3.22,$3.22,true,Each,false
